customer_id,age,gender,location,subscription_status,item_purchased,category,purchase_amount_usd,season,size,color,discount_applied,previous_purchases,frequency_of_purchases,review_rating,shipping_type,payment_method,age_group,purchase_frequency_days,customer_segment
1,32,Male,Arizona,No,Pants,Clothing,35.64,Winter,XL,Blue,Yes,0,Quarterly,4.82,Express,Debit Card,Adult,90,New
2,50,Male,Washington,Yes,Jewelry,Accessories,15.0,Winter,XL,Blue,No,1,Weekly,4.23,Standard,Cash,Middle-aged,7,New
3,56,Female,Ohio,No,Sandals,Footwear,47.59,Winter,L,Blue,No,0,Quarterly,3.6,Express,Debit Card,Middle-aged,90,New
4,35,Female,Arizona,No,Pants,Clothing,73.57,Winter,S,Gray,No,1,Annually,3.66,Express,Credit Card,Adult,365,New
5,62,Female,Montana,No,Sweater,Clothing,71.24,Summer,L,Purple,Yes,0,Quarterly,4.19,Express,Venmo,Senior,90,New
6,39,Female,Montana,No,Boots,Footwear,38.84,Fall,L,Brown,Yes,2,Bi-Weekly,3.71,Standard,Venmo,Adult,14,New
7,56,Male,Florida,No,Scarf,Accessories,77.67,Fall,L,Blue,Yes,0,Annually,3.76,Express,Venmo,Middle-aged,365,New
8,28,Male,Georgia,No,Coat,Outerwear,53.41,Spring,XL,Pink,No,2,Monthly,4.09,Express,Venmo,Adult,30,New
9,61,Male,Florida,No,Shoes,Footwear,49.94,Spring,M,Red,Yes,2,Monthly,3.47,Express,Credit Card,Senior,30,New
10,66,Male,Montana,Yes,Hoodie,Outerwear,50.76,Summer,S,Purple,No,1,Quarterly,3.71,Standard,Cash,Senior,90,New
11,41,Male,Montana,Yes,Sunglasses,Accessories,71.34,Fall,M,Blue,No,1,Monthly,4.85,Express,Cash,Middle-aged,30,New
12,69,Female,Georgia,Yes,Coat,Clothing,68.16,Fall,L,Purple,No,0,Bi-Weekly,2.52,Express,PayPal,Senior,14,New
13,18,Male,Texas,No,Shirt,Clothing,30.8,Summer,XL,Black,No,1,Quarterly,4.35,Express,PayPal,Young Adult,90,New
14,42,Male,Georgia,Yes,Dress,Clothing,96.92,Winter,S,Green,Yes,0,Monthly,3.99,Express,Credit Card,Middle-aged,30,New
15,68,Female,Texas,No,T-shirt,Clothing,70.39,Fall,L,White,No,2,Weekly,3.0,Standard,Venmo,Senior,7,New
16,52,Male,Illinois,No,Sweater,Clothing,59.37,Spring,S,Gray,No,0,Monthly,3.85,Express,PayPal,Middle-aged,30,New
17,49,Male,Illinois,No,Pants,Clothing,41.08,Winter,M,Gray,Yes,0,Bi-Weekly,3.49,Express,Debit Card,Middle-aged,14,New
18,57,Male,Ohio,No,Jacket,Outerwear,40.42,Summer,S,Gray,No,0,Weekly,4.44,Express,PayPal,Middle-aged,7,New
19,63,Male,California,No,Dress,Clothing,53.29,Fall,M,Blue,No,1,Annually,4.13,Express,Debit Card,Senior,365,New
20,59,Male,New York,No,Scarf,Accessories,41.74,Winter,S,Brown,Yes,2,Quarterly,3.58,Express,Cash,Middle-aged,90,New
21,33,Female,Texas,No,Sweater,Clothing,19.1,Fall,M,Green,Yes,1,Weekly,3.84,Express,Credit Card,Adult,7,New
22,64,Male,New York,No,Jewelry,Accessories,63.28,Fall,L,Purple,No,1,Weekly,4.04,Express,PayPal,Senior,7,New
23,47,Male,New York,No,Jewelry,Accessories,54.85,Spring,M,Green,No,1,Annually,4.69,Express,PayPal,Middle-aged,365,New
24,36,Male,Ohio,No,Shirt,Clothing,98.27,Winter,XL,Red,No,0,Quarterly,3.96,Standard,Venmo,Adult,90,New
25,29,Male,Arizona,No,Pants,Clothing,65.22,Summer,M,White,No,0,Bi-Weekly,3.44,Express,Venmo,Adult,14,New
26,38,Male,Texas,No,Jacket,Outerwear,15.26,Winter,XL,White,No,0,Annually,4.44,Standard,Venmo,Adult,365,New
27,58,Male,Texas,No,Sneakers,Footwear,53.08,Winter,S,Pink,No,0,Quarterly,5.0,Express,PayPal,Middle-aged,90,New
28,33,Male,Florida,No,Coat,Clothing,39.48,Winter,S,Brown,Yes,0,Bi-Weekly,3.14,Express,Venmo,Adult,14,New
29,64,Male,Ohio,No,Shirt,Clothing,71.88,Winter,M,Pink,No,0,Annually,4.43,Express,Cash,Senior,365,New
30,18,Male,Illinois,No,Pants,Clothing,46.32,Summer,M,Blue,Yes,0,Annually,4.43,Express,Debit Card,Young Adult,365,New
31,58,Male,Montana,Yes,Boots,Footwear,37.52,Spring,M,Green,No,0,Annually,4.13,Standard,Venmo,Middle-aged,365,New
32,28,Male,Georgia,Yes,Jewelry,Accessories,76.47,Fall,L,Black,No,0,Weekly,3.22,Express,Debit Card,Adult,7,New
33,29,Male,Washington,Yes,Coat,Outerwear,42.81,Winter,XL,Green,No,0,Weekly,3.45,Express,Venmo,Adult,7,New
34,65,Female,California,No,Boots,Footwear,33.2,Spring,L,Gray,No,0,Weekly,4.67,Express,Debit Card,Senior,7,New
35,44,Male,New York,No,Skirt,Clothing,63.97,Spring,L,Green,No,0,Monthly,3.51,Standard,Credit Card,Middle-aged,30,New
36,62,Male,Arizona,Yes,Belt,Accessories,66.32,Summer,M,Yellow,No,1,Quarterly,4.0,Express,PayPal,Senior,90,New
37,34,Male,Illinois,No,Skirt,Clothing,89.38,Summer,M,White,No,2,Monthly,4.19,Standard,Debit Card,Adult,30,New
38,50,Female,New York,No,Skirt,Clothing,92.17,Summer,XL,Black,No,2,Annually,3.06,Express,Venmo,Middle-aged,365,New
39,60,Male,Arizona,No,Skirt,Clothing,66.93,Winter,L,White,No,2,Annually,3.28,Standard,PayPal,Senior,365,New
40,38,Female,Montana,No,Skirt,Clothing,16.68,Spring,L,Pink,Yes,0,Monthly,4.01,Express,Venmo,Adult,30,New
41,18,Male,Arizona,No,Scarf,Accessories,63.16,Summer,XL,Brown,No,0,Bi-Weekly,3.77,Standard,Cash,Young Adult,14,New
42,40,Male,Texas,No,Sneakers,Footwear,40.15,Winter,S,Brown,No,2,Weekly,3.79,Express,Debit Card,Middle-aged,7,New
43,34,Male,Florida,No,Blouse,Clothing,80.71,Summer,L,Gray,No,0,Bi-Weekly,4.08,Express,PayPal,Adult,14,New
44,62,Male,Arizona,No,Shirt,Clothing,47.26,Fall,L,Blue,Yes,0,Bi-Weekly,3.12,Express,Cash,Senior,14,New
45,66,Male,Arizona,No,Coat,Outerwear,70.17,Spring,XL,Green,Yes,1,Monthly,3.85,Standard,PayPal,Senior,30,New
46,18,Male,Florida,No,Belt,Accessories,72.37,Fall,S,Yellow,No,1,Bi-Weekly,2.92,Express,Venmo,Young Adult,14,New
47,18,Female,Montana,No,Boots,Footwear,107.4,Winter,XL,White,Yes,0,Weekly,3.45,Standard,Cash,Young Adult,7,New
48,39,Male,Texas,Yes,Scarf,Accessories,66.35,Spring,L,Purple,No,0,Bi-Weekly,3.54,Express,Cash,Adult,14,New
49,40,Male,California,No,Blouse,Clothing,22.38,Winter,XL,Blue,No,2,Monthly,4.25,Express,Debit Card,Middle-aged,30,New
50,64,Female,Illinois,No,Belt,Accessories,78.92,Spring,S,Brown,Yes,0,Bi-Weekly,3.79,Express,Cash,Senior,14,New
51,55,Male,Arizona,Yes,Shoes,Footwear,44.01,Fall,XL,White,Yes,2,Quarterly,2.65,Express,Cash,Middle-aged,90,New
52,28,Male,Washington,No,Sweater,Clothing,36.04,Winter,M,Gray,No,1,Quarterly,3.41,Express,PayPal,Adult,90,New
53,22,Male,Washington,Yes,Sweater,Clothing,43.79,Fall,S,Gray,No,0,Weekly,3.99,Standard,Venmo,Young Adult,7,New
54,40,Male,New York,No,Scarf,Accessories,60.71,Spring,S,Purple,No,0,Weekly,4.3,Standard,PayPal,Middle-aged,7,New
55,55,Male,Texas,Yes,T-shirt,Clothing,85.0,Spring,L,Red,No,2,Weekly,3.34,Express,Cash,Middle-aged,7,New
56,67,Male,Arizona,No,Sweater,Clothing,54.22,Spring,XL,Brown,No,0,Annually,3.2,Express,Venmo,Senior,365,New
57,36,Male,Montana,No,Dress,Clothing,54.5,Summer,L,Red,Yes,0,Monthly,4.5,Express,Debit Card,Adult,30,New
58,50,Male,Montana,No,Coat,Outerwear,69.31,Fall,XL,Brown,No,2,Weekly,3.36,Express,Cash,Middle-aged,7,New
59,25,Female,Florida,No,Hoodie,Outerwear,75.88,Summer,S,Brown,No,2,Weekly,3.28,Standard,Cash,Adult,7,New
60,53,Male,Ohio,Yes,Belt,Accessories,34.77,Winter,S,Green,No,1,Bi-Weekly,3.34,Express,Cash,Middle-aged,14,New
61,61,Female,Montana,No,Coat,Outerwear,58.85,Spring,M,Pink,No,0,Weekly,4.3,Standard,Cash,Senior,7,New
62,46,Male,Georgia,No,Shirt,Clothing,27.01,Winter,L,Green,Yes,1,Weekly,4.03,Express,Cash,Middle-aged,7,New
63,62,Male,California,Yes,Sweater,Clothing,22.78,Fall,S,Blue,Yes,0,Annually,3.11,Express,Cash,Senior,365,New
64,56,Female,Illinois,No,Blouse,Clothing,57.05,Spring,M,Red,No,2,Quarterly,4.03,Standard,Cash,Middle-aged,90,New
65,26,Female,Washington,No,Shirt,Clothing,58.9,Fall,L,White,No,1,Bi-Weekly,4.64,Standard,Venmo,Adult,14,New
66,66,Male,Arizona,No,Belt,Accessories,58.11,Fall,S,Black,No,0,Weekly,4.06,Express,PayPal,Senior,7,New
67,58,Male,New York,No,Sunglasses,Accessories,75.97,Fall,XL,Gray,No,1,Bi-Weekly,3.82,Express,PayPal,Middle-aged,14,New
68,59,Male,California,No,Shoes,Footwear,34.12,Fall,XL,Purple,No,0,Weekly,4.46,Express,Credit Card,Middle-aged,7,New
69,33,Male,California,Yes,Sandals,Footwear,55.24,Fall,S,White,No,1,Quarterly,4.25,Standard,Credit Card,Adult,90,New
