Customer ID,Age,Gender,Location,Subscription Status,Item Purchased,Category,Purchase Amount (USD),Season,Size,Color,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Review Rating,Shipping Type,Payment Method
1,32,Male,Arizona,No,Pants,Clothing,35.64,Winter,XL,Blue,Yes,No,0,Quarterly,4.82,Express,Debit Card
2,50,Male,Washington,Yes,Jewelry,Accessories,15.0,Winter,XL,Blue,No,No,1,Weekly,4.23,Standard,Cash
3,56,Female,Ohio,No,Sandals,Footwear,47.59,Winter,L,Blue,No,No,0,Quarterly,3.6,Express,Debit Card
4,35,Female,Arizona,No,Pants,Clothing,73.57,Winter,S,Gray,No,No,1,Annually,3.66,Express,Credit Card
5,62,Female,Montana,No,Sweater,Clothing,71.24,Summer,L,Purple,Yes,No,0,Quarterly,4.19,Express,Venmo
6,39,Female,Montana,No,Boots,Footwear,38.84,Fall,L,Brown,Yes,No,2,Bi-Weekly,3.71,Standard,Venmo
7,56,Male,Florida,No,Scarf,Accessories,77.67,Fall,L,Blue,Yes,No,0,Annually,3.76,Express,Venmo
8,28,Male,Georgia,No,Coat,Outerwear,53.41,Spring,XL,Pink,No,Yes,2,Monthly,4.09,Express,Venmo
9,61,Male,Florida,No,Shoes,Footwear,49.94,Spring,M,Red,Yes,No,2,Monthly,3.47,Express,Credit Card
10,66,Male,Montana,Yes,Hoodie,Outerwear,50.76,Summer,S,Purple,No,Yes,1,Quarterly,3.71,Standard,Cash
11,41,Male,Montana,Yes,Sunglasses,Accessories,71.34,Fall,M,Blue,No,No,1,Monthly,4.85,Express,Cash
12,69,Female,Georgia,Yes,Coat,Clothing,68.16,Fall,L,Purple,No,No,0,Bi-Weekly,2.52,Express,PayPal
13,18,Male,Texas,No,Shirt,Clothing,30.8,Summer,XL,Black,No,Yes,1,Quarterly,4.35,Express,PayPal
14,42,Male,Georgia,Yes,Dress,Clothing,96.92,Winter,S,Green,Yes,No,0,Monthly,3.99,Express,Credit Card
15,68,Female,Texas,No,T-shirt,Clothing,70.39,Fall,L,White,No,No,2,Weekly,3.0,Standard,Venmo
16,52,Male,Illinois,No,Sweater,Clothing,59.37,Spring,S,Gray,No,No,0,Monthly,3.85,Express,PayPal
17,49,Male,Illinois,No,Pants,Clothing,41.08,Winter,M,Gray,Yes,No,0,Bi-Weekly,3.49,Express,Debit Card
18,57,Male,Ohio,No,Jacket,Outerwear,40.42,Summer,S,Gray,No,No,0,Weekly,4.44,Express,PayPal
19,63,Male,California,No,Dress,Clothing,53.29,Fall,M,Blue,No,No,1,Annually,4.13,Express,Debit Card
20,59,Male,New York,No,Scarf,Accessories,41.74,Winter,S,Brown,Yes,Yes,2,Quarterly,3.58,Express,Cash
21,33,Female,Texas,No,Sweater,Clothing,19.1,Fall,M,Green,Yes,Yes,1,Weekly,3.84,Express,Credit Card
22,64,Male,New York,No,Jewelry,Accessories,63.28,Fall,L,Purple,No,No,1,Weekly,4.04,Express,PayPal
23,47,Male,New York,No,Jewelry,Accessories,54.85,Spring,M,Green,No,No,1,Annually,4.69,Express,PayPal
24,36,Male,Ohio,No,Shirt,Clothing,98.27,Winter,XL,Red,No,No,0,Quarterly,3.96,Standard,Venmo
25,29,Male,Arizona,No,Pants,Clothing,65.22,Summer,M,White,No,No,0,Bi-Weekly,3.44,Express,Venmo
26,38,Male,Texas,No,Jacket,Outerwear,15.26,Winter,XL,White,No,No,0,Annually,4.44,Standard,Venmo
27,58,Male,Texas,No,Sneakers,Footwear,53.08,Winter,S,Pink,No,No,0,Quarterly,5.0,Express,PayPal
28,33,Male,Florida,No,Coat,Clothing,39.48,Winter,S,Brown,Yes,No,0,Bi-Weekly,3.14,Express,Venmo
29,64,Male,Ohio,No,Shirt,Clothing,71.88,Winter,M,Pink,No,No,0,Annually,4.43,Express,Cash
30,18,Male,Illinois,No,Pants,Clothing,46.32,Summer,M,Blue,Yes,No,0,Annually,4.43,Express,Debit Card
31,58,Male,Montana,Yes,Boots,Footwear,37.52,Spring,M,Green,No,Yes,0,Annually,4.13,Standard,Venmo
32,28,Male,Georgia,Yes,Jewelry,Accessories,76.47,Fall,L,Black,No,No,0,Weekly,3.22,Express,Debit Card
33,29,Male,Washington,Yes,Coat,Outerwear,42.81,Winter,XL,Green,No,No,0,Weekly,3.45,Express,Venmo
34,65,Female,California,No,Boots,Footwear,33.2,Spring,L,Gray,No,No,0,Weekly,4.67,Express,Debit Card
35,44,Male,New York,No,Skirt,Clothing,63.97,Spring,L,Green,No,No,0,Monthly,3.51,Standard,Credit Card
36,62,Male,Arizona,Yes,Belt,Accessories,66.32,Summer,M,Yellow,No,No,1,Quarterly,4.0,Express,PayPal
37,34,Male,Illinois,No,Skirt,Clothing,89.38,Summer,M,White,No,No,2,Monthly,4.19,Standard,Debit Card
38,50,Female,New York,No,Skirt,Clothing,92.17,Summer,XL,Black,No,No,2,Annually,3.06,Express,Venmo
39,60,Male,Arizona,No,Skirt,Clothing,66.93,Winter,L,White,No,Yes,2,Annually,3.28,Standard,PayPal
